city,rooms,square,price,link,township,title
Beograd,3,90.0,2500,https://www.nekretnine.rs/stambeni-objekti/stanovi/lux-30--garaza-bw-terraces/Nk4RUTkZGE0/,Beograd na vodi,Lux  3.0 / garaza - BW TERRACES
Beograd,3,140.0,2500,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-u-bw--30--3-garazna-mesta/NkoCIW-jjk8/,Beograd na vodi,Izdavanje luksuznih stanova u BW / 3.0 /  3 garazna mesta
Beograd,4,110.0,2500,https://www.nekretnine.rs/stambeni-objekti/stanovi/luksuzni-stanovi-skyline-40--garaza/Nkhqt7E-DIj/,Kneza Miloša ( centar ),Luksuzni stanovi - SKYLINE -  4.0 / garaza
Beograd,4,125.0,2500,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-beograd-na-vodi--40--2-garazna/Nkuy6S8w_pj/,Beograd na vodi,Izdavanje luksuznih stanova - Beograd na vodi / 4.0 / 2 garazna
Beograd,2,45.0,500,https://www.nekretnine.rs/stambeni-objekti/stanovi/centar-skupstina-45m-lux-stan-500/Nki3662coQQ/,Centar (uži),Centar Skupstina 45m lux stan 500
Beograd,4,110.0,700,https://www.nekretnine.rs/stambeni-objekti/stanovi/centar-blizina-slavije-110m2-4-kanc-700-eur/NkRIKGQj6Z-/,Centar (uži),Centar blizina Slavije 110m2 4 kanc. 700 EUR
Beograd,2,43.0,550,https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-67-belville-jurija-gagarina-20-43m2-550-eur/NkN-lErRwQg/,Novi Beograd Blok 67,"Novi Beograd, Blok 67, Belville, Jurija Gagarina, 2.0, 43m2, 550 EUR"
Beograd,2,59.0,146000,https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-beograd-blok-60-airport-city-tosin-bunar-20-59m2-146000-eur/NkVc641DoFL/,Novi Beograd Blok 60 (Airport City),"Novi Beograd, Blok 60, Airport City, Tošin bunar, 2.0, 59m2, 146000 EUR"
Beograd,4,121.0,2500,https://www.nekretnine.rs/stambeni-objekti/stanovi/savski-venac-beograd-na-vodi-bulevar-vudroa-vilsona-40-121m2-2500-eur/NkuMwKfGg8K/,Beograd na vodi,"Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona, 4.0, 121m2, 2500 EUR"
Beograd,3,83.0,1300,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-novi-beograd--30--2-garazna-blok-63-sun-city/Nk4i76ap1-Y/,Novi Beograd Blok 63,Izdavanje luksuznih stanova - Novi Beograd / 3.0 / 2 garazna - BLOK 63 - SUN CITY
Beograd,4,113.0,2400,https://www.nekretnine.rs/stambeni-objekti/stanovi/west-tower-izdavanje-lux-40-kao-kancprostor-id7706/NkugzBkHlLH/,Novi Beograd Blok 65,"West Tower, izdavanje, lux, 4.0 kao kanc.prostor ID#7706"
