city,rooms,total_price,link,condition,heating,township,place,street
Beograd,3.0,1200,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/tadije-sondermajera/6214fe6f4165b62c3e0f8003,namešteno,centralno,Novi Beograd,Blok 65,Tadije Sondermajera
Beograd,0.5,320,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/djuriceva/5aef38c1adb1145efd20b724,namešteno,centralno,Zvezdara opština,Slavujev Venac,Đurićeva
Beograd,4.0,1000,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/svetogorska/619d27ce193f4e2818742d33,polunamešteno,centralno,Stari Grad opština,Skupština,Svetogorska
Beograd,3.0,1200,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hercegovacka/623c5ca0babd4279d650e243,polunamešteno,centralno,Savski Venac,Beograd na vodi,Hercegovačka
Beograd,5.0,3000,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hadzi-melentijeva/625064d67b9156796f0b87d3,namešteno,centralno,Vračar,Hram Svetog Save,Hadži Melentijeva
Beograd,2.0,1400,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/kneza-milosa/623f43d87a0f7a4d6662fb84,namešteno,centralno,Savski Venac,Savski Venac,Kneza Miloša
Niš,1.0,250,https://www.4zida.rs/izdavanje/stanovi/nis/oglas/bulevar-nemanjica/6250171752407b6e5b2b1ee3,,,Gradske lokacije,Medijana,Bulevar Nemanjića
Beograd,2.5,1000,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/danicareva/6251f81383f2f509fb40a2b3,namešteno,etažno,Vračar,Crveni Krst Vračar,Daničareva
Beograd,2.0,700,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/jurija-gagarina/6229be988c8934473f7c65a3,namešteno,centralno,Novi Beograd,A Blok - Blok 67a,Jurija Gagarina
Beograd,2.0,500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/kneza-viseslava/62528087d214af2270069f33,prazno,na gas,Čukarica opština,Filmski Grad,Kneza Višeslava
Novi Sad,3.0,500,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/liman-1/617fdd4241781a23dc208f2f,namešteno,centralno,Gradske lokacije,Liman,Liman 1
Beograd,5.0,2500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/tolstojeva/62044a39914e1a325157f934,namešteno,centralno,Savski Venac,Diplomatska Kolonija,Tolstojeva
Beograd,4.0,2500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hercegovacka/624481bcc0ee3a153f3bc493,namešteno,centralno,Savski Venac,Beograd na vodi,Hercegovacka
Beograd,4.0,3000,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hercegovacka/60afc58595631056755b02c2,namešteno,centralno,Savski Venac,Beograd na vodi,Hercegovacka
Beograd,4.0,2500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hercegovacka/61e835a1622aa630e613e884,namešteno,centralno,Savski Venac,Beograd na vodi,Hercegovacka
Beograd,3.0,2500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/bw-terraces/61f842be5c946d3b56547b62,namešteno,centralno,Savski Venac,Beograd na vodi,Bw Terraces
Beograd,3.0,2500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/terraces/620787bda29aaf7aee66ae38,polunamešteno,centralno,Savski Venac,Beograd na vodi,Terraces
Beograd,3.0,2500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hercegovacka/622bb7c218aa6d50222374c3,namešteno,centralno,Savski Venac,Beograd na vodi,Hercegovacka
Beograd,3.0,1100,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/kralja-milana/60a7febb54284605d00ed5cf,namešteno,centralno,Stari Grad opština,Terazije,Kralja Milana
Beograd,3.0,1200,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/kalenic/621f515c2f1e0e1f7f7358e5,namešteno,centralno,Vračar,Kalenić,Kalenic
Beograd,4.0,1300,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/miloja-djaka/61b4f60568397069e47c8977,namešteno,centralno,Savski Venac,Dedinje,Miloja Djaka
Beograd,4.0,1300,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/zanke-stokic/60b20fa7cc19c87f9a40268a,namešteno,centralno,Savski Venac,Senjak,Zanke Stokic
